"","V1"
"1",0.70142994325022
"2",0.941400332831019
"3",1.31892461854544
"4",1.31790297730029
"5",1.17726226481904
"6",0.700682661935585
"7",1.83045709353069
"8",2.51999936634621
"9",2.63985458678811
"10",2.26316143369874
"11",1.50441391638873
"12",0.986616714794251
"13",2.42875884640294
"14",3.8894461586051
"15",5.4790858755084
"16",6.44578606213654
"17",5.54061802708306
"18",3.42686622847257
"19",1.9472447679795
"20",1.04524337663443
"21",0.751049972874285
"22",2.40445596365686
"23",4.51894762261189
"24",6.49835746776947
"25",8.50798572226205
"26",11.585145832161
"27",15.2648365224815
"28",12.0721764074891
"29",7.70392281724198
"30",4.41359514098082
"31",2.30656728202576
"32",1.12396220346591
"33",0.869278242939358
"34",1.38705664180525
"35",1.79291596368032
"36",2.71514348678905
"37",4.51822167406194
"38",7.22038849925246
"39",10.0143561697175
"40",11.3661232713982
"41",12.5318111746217
"42",13.9843096373033
"43",17.2378224996959
"44",18.9743606055169
"45",13.9153555806092
"46",10.2644349725734
"47",6.88234303552048
"48",4.11795454554655
"49",2.19384915679488
"50",1.05309723424928
"51",0.762153061234703
"52",1.72837001505259
"53",2.58129913764985
"54",3.5076545776113
"55",5.36782787456714
"56",6.95280957761301
"57",9.44986721889844
"58",11.6087200737053
"59",12.5015180220575
"60",13.7688071856508
"61",15.6247257715862
"62",17.4755108693664
"63",18.4050091781618
"64",18.9020152201203
"65",19.9462009830524
"66",22.1837242234556
"67",20.6770716157093
"68",15.568016106264
"69",11.9841621487967
"70",8.69133233661286
"71",5.9210988344337
"72",3.61988212233677
"73",2.00926477519819
"74",1.04342939880214
"75",0.97927092205008
"76",1.72130098874965
"77",4.12948592408412
"78",7.8179915889229
"79",10.2963004194504
"80",12.1273743213056
"81",14.7889149418753
"82",16.5740312543815
"83",18.3225393796736
"84",19.0121079021357
"85",18.8135833506235
"86",19.4159376676655
"87",21.11156130693
"88",22.9097545147898
"89",23.9234000116712
"90",24.3134051699598
"91",24.8499661357656
"92",24.3947823983894
"93",20.5944626736804
"94",16.4993257528757
"95",13.0211667589683
"96",9.93364935136509
"97",7.27087550807419
"98",5.05589873428625
"99",3.21412798963914
"100",1.91770659869337
"101",1.10157036543269
"102",0.781136974936979
"103",2.51747356922381
"104",4.65351651323291
"105",6.31283205158524
"106",10.3988407978253
"107",15.8079459989304
"108",19.5139125187424
"109",20.3816331356338
"110",21.1576451376868
"111",22.4240519234348
"112",23.5760130895822
"113",23.9519788493861
"114",23.5466735674341
"115",23.9245804851399
"116",25.4423372535267
"117",27.1534326164877
"118",28.0465477029313
"119",28.005924634527
"120",27.1160369382169
"121",24.6530706725437
"122",20.811655704237
"123",17.0544102588027
"124",13.8013545368179
"125",10.8798612670846
"126",8.40553969529509
"127",6.3051179144255
"128",4.5625492739825
"129",3.11493240570333
"130",1.94162578040777
"131",1.10390354641105
"132",0.935723653097737
"133",2.31689088359832
"134",5.36434141367191
"135",10.0535645663528
"136",13.9445291651048
"137",16.3717554498442
"138",18.5417767193967
"139",21.9481461037048
"140",24.7202270321706
"141",25.4931890146233
"142",25.8001753305581
"143",26.514864399097
"144",27.2796178017455
"145",27.540683074352
"146",27.1908434074704
"147",27.3867645507715
"148",28.5675604555062
"149",30.089974898179
"150",30.5855374332426
"151",29.7162921178781
"152",27.6288584814861
"153",24.5152334324796
"154",20.5766673312339
"155",17.1843712895943
"156",14.3162072408756
"157",11.657918938531
"158",9.34008575615099
"159",7.3585213194182
"160",5.66844294745831
"161",4.22649108672055
"162",2.89413850603532
"163",1.69994627391424
"164",0.949228305845782
"165",1.95354362122542
"166",0.786085206749328
"167",2.96939563642589
"168",8.76392664784302
"169",13.9810242783498
"170",18.1121277196723
"171",21.7298939548147
"172",23.2225764374703
"173",24.9506647133199
"174",27.0086398070287
"175",28.6229688150719
"176",28.9827702710285
"177",28.9260750605687
"178",28.9750774064377
"179",29.2254360513366
"180",29.4498763867083
"181",29.2959973179774
"182",29.4430801900598
"183",30.4917316773474
"184",31.669244230932
"185",31.6170480419679
"186",30.0230968010785
"187",27.4575376158583
"188",24.1260379752065
"189",20.4740048645649
"190",17.3742233254705
"191",14.8509267255782
"192",12.351618598719
"193",10.1356848621747
"194",8.246859259099
"195",6.64047672567089
"196",5.16621607933159
"197",3.73347359994592
"198",2.42748464129359
"199",1.45674266250803
"200",1.30889770511041
"201",4.9590467674581
"202",4.32223573369713
"203",1.89034048224322
"204",1.30720370067609
"205",0.857212798192518
"206",0.860799743983756
"207",1.95581938552181
"208",5.52727422178759
"209",12.1339090079548
"210",18.829264433214
"211",23.2872487006278
"212",25.8287506528138
"213",27.6981761863276
"214",28.7131927032553
"215",29.2446765749944
"216",30.0486016792841
"217",30.256315723556
"218",29.9386193447581
"219",29.6779914047249
"220",29.6429908075244
"221",29.7383276087693
"222",29.8882141041836
"223",30.1237742867379
"224",31.2827582254213
"225",31.8980878899653
"226",31.3480853450171
"227",29.5684514864037
"228",26.9364552149534
"229",23.8518625991709
"230",20.6003529734158
"231",17.820262153611
"232",15.5136696914362
"233",13.1494878783309
"234",10.9512382386805
"235",9.05405152433147
"236",7.43894277500861
"237",5.95609306456686
"238",4.53516410283974
"239",3.24830699246252
"240",2.14825826823669
"241",1.308234675507
"242",0.382814241541712
"243",0.57256767822445
"244",0.959766655465217
"245",1.21793121477323
"246",1.32317726522994
"247",1.18014900017816
"248",1.13966137200726
"249",0.787246301193442
"250",0.55169777981177
"251",0.908889275388773
"252",3.75675699296522
"253",8.3269887807319
"254",9.85275037836404
"255",8.55034116168408
"256",5.1135705979681
"257",5.47396481858215
"258",6.79375598431014
"259",11.5476997545291
"260",17.3794825224164
"261",22.0278490329187
"262",26.1072905114561
"263",28.2927474631877
"264",29.5943772743914
"265",30.087462899315
"266",30.0363969539308
"267",30.0046942840913
"268",29.7506409952003
"269",29.4355631368314
"270",29.1258951295973
"271",28.9790806874248
"272",29.0461566017953
"273",29.303467813308
"274",29.7587131300248
"275",31.0375628336983
"276",31.2821856762527
"277",30.5121569256651
"278",28.7738166381281
"279",26.5021955426017
"280",23.8059097650284
"281",21.118098368092
"282",18.6141844867118
"283",16.3578906104893
"284",13.9352184156894
"285",11.7734405100156
"286",9.9154497775308
"287",8.21165525196687
"288",6.77681485348554
"289",5.41458029389308
"290",4.12942005579205
"291",2.87595111671807
"292",1.73239527494967
"293",0.663010553391677
"294",1.51194628089579
"295",2.6632838363008
"296",2.81638849950159
"297",3.33167459765235
"298",3.74255916804273
"299",5.01478853153401
"300",5.45758329108302
"301",4.90489531640235
"302",3.76071057815919
"303",3.01108497895709
"304",2.53752020715226
"305",2.60617926912806
"306",2.08382288811448
"307",1.38619020611151
"308",0.970634785962152
"309",0.646904299147136
"310",2.44959575781079
"311",8.95772420358597
"312",13.6939798663897
"313",13.6967596868963
"314",12.3162933734091
"315",12.4881992208618
"316",13.2619544499129
"317",16.7258387281858
