"","V1"
"1",0.10434596143627
"2",0.166659863503234
"3",0.255837660374989
"4",0.219735198082218
"5",0.161513847756102
"6",0.0972132630340265
"7",0.448475521154435
"8",0.701035296004419
"9",0.63838608044011
"10",0.422409074309747
"11",0.225436236408805
"12",0.15849043822588
"13",0.570285535171614
"14",1.21302953371977
"15",2.19618977696928
"16",2.41130463697928
"17",1.55166913282351
"18",0.675404038847187
"19",0.286066032423733
"20",0.119534086596872
"21",0.0930419152990451
"22",0.55546723283202
"23",1.29300613839084
"24",1.96822894188054
"25",2.8166061170754
"26",4.44729861056725
"27",5.76508562609823
"28",3.65443523699753
"29",1.78529633485678
"30",0.833143996520032
"31",0.345620408924328
"32",0.13030208196778
"33",0.128197988047117
"34",0.254674227235165
"35",0.377531151675838
"36",0.712391515107113
"37",1.30126205212264
"38",2.00977265734554
"39",2.84552266150919
"40",3.37214325593661
"41",3.74805764505739
"42",3.97316681283512
"43",4.98566492622802
"44",5.29639143038001
"45",3.30416730950886
"46",2.14569970868176
"47",1.36627608657063
"48",0.745562382838307
"49",0.334469367369889
"50",0.136839043295155
"51",0.118332473033175
"52",0.364403166840874
"53",0.549936917648792
"54",0.826216660287475
"55",1.48872990131347
"56",1.96887875775889
"57",2.71032745992404
"58",3.27487180978127
"59",3.34668915721643
"60",3.28183086886862
"61",3.24703437454105
"62",3.62297570625652
"63",4.22405067682564
"64",4.54728935817285
"65",4.43231934569814
"66",4.62490398881542
"67",4.31023581412169
"68",2.96958131098241
"69",2.19434463284589
"70",1.65409774286644
"71",1.17083482299933
"72",0.677849699068617
"73",0.353360031367174
"74",0.149743462559341
"75",0.14035105670929
"76",0.354941621529078
"77",1.36678091092062
"78",2.72755401456306
"79",2.8219281044439
"80",2.79692816274115
"81",3.17978337590953
"82",3.32682525167062
"83",3.42746456046206
"84",3.36265673933721
"85",3.19499801029038
"86",3.17252522863342
"87",3.26355765232522
"88",3.63128186031647
"89",4.23710698018
"90",4.46405221870864
"91",4.1736193885766
"92",3.80719624670276
"93",3.33955834550309
"94",2.59464038017307
"95",2.00463957458998
"96",1.57201978225326
"97",1.1886583103623
"98",0.817133305693757
"99",0.514696564943155
"100",0.272861986793007
"101",0.135244337905016
"102",0.0937554141893448
"103",0.534845219898261
"104",1.16098575409262
"105",1.69239178625215
"106",2.99260773206664
"107",3.94610609025215
"108",3.75750087237422
"109",3.21518040419237
"110",3.10887279882732
"111",3.07146962166486
"112",3.08282791957288
"113",3.02958540332155
"114",2.93725238819619
"115",2.99778913828413
"116",3.20977591865433
"117",3.55070369420033
"118",4.13350683040895
"119",4.11756591018278
"120",3.61450862829861
"121",3.0564231177598
"122",2.76680896196933
"123",2.27920933387139
"124",1.81159693869015
"125",1.44193417961989
"126",1.13038019937122
"127",0.838644790809352
"128",0.610671804773458
"129",0.405521763923111
"130",0.233804941290336
"131",0.116221763414647
"132",0.0906783796327547
"133",0.412843209555562
"134",1.39376845215077
"135",2.92488666099798
"136",3.89630980152233
"137",3.77145168319443
"138",3.57075250848011
"139",3.57849850489401
"140",3.37527800446891
"141",3.03290363931485
"142",2.90875639134667
"143",2.81999400791015
"144",2.82400309675618
"145",2.78054919667794
"146",2.71806342214694
"147",2.7687626821112
"148",2.93333770728775
"149",3.15006507798787
"150",3.49803371198165
"151",3.45150031296539
"152",3.06951946483043
"153",2.64484820260684
"154",2.38171795833162
"155",1.99465720371457
"156",1.61586937121183
"157",1.3076614052317
"158",1.04480424177019
"159",0.800998013645516
"160",0.620083074649177
"161",0.470083330363096
"162",0.326603582458644
"163",0.180767720720655
"164",0.09084000307829
"165",0.246727862103513
"166",0.0535325549977382
"167",0.354566443292189
"168",1.99419607363208
"169",3.32726277438885
"170",4.14060098606444
"171",4.33484905365902
"172",3.77733047099946
"173",3.17741807822975
"174",3.02395772952596
"175",2.96089691097558
"176",2.8300670890113
"177",2.67923327891585
"178",2.60616149317195
"179",2.60313226473354
"180",2.58172138733962
"181",2.55545755759914
"182",2.58697395855247
