"","V1"
"1",0.000222521750126003
"2",0.000456149817607087
"3",0.000631716083296213
"4",0.000459351951953496
"5",0.000283971850604652
"6",0.000434084287555327
"7",0.00196803649874786
"8",0.00236426935413104
"9",0.0018082450167234
"10",0.0010763438831423
"11",0.00054587571091732
"12",0.00103754899757333
"13",0.00497899658972866
"14",0.00966925950715569
"15",0.0144013665286835
"16",0.0142198331090314
"17",0.00764933386198162
"18",0.00272594737122503
"19",0.000935539443163642
"20",0.000338202835472372
"21",0.000882141609175966
"22",0.00841028652480733
"23",0.0242540011987946
"24",0.0375774080549996
"25",0.05284259212036
"26",0.0905184153980328
"27",0.141927507597532
"28",0.0497675856395197
"29",0.01455299583363
"30",0.00439111099137591
"31",0.00133872382486069
"32",0.000418862407618988
"33",0.00112140694787918
"34",0.00233759188398536
"35",0.00394077290672187
"36",0.0112732479507367
"37",0.038247303189962
"38",0.118343507786929
"39",0.236641662371289
"40",0.216466684666571
"41",0.164201269200985
"42",0.16065263518403
"43",0.24494423520736
"44",0.230420564039727
"45",0.0609932688032615
"46",0.0245981693321516
"47",0.00997878019926903
"48",0.00371990941732579
"49",0.00131093482098993
"50",0.000444475040988519
"51",0.000524385628732508
"52",0.00237332459835157
"53",0.00609724103236795
"54",0.0194571412362135
"55",0.0632127150924748
"56",0.095440165542172
"57",0.161993262263345
"58",0.288848884141976
"59",0.464310708766006
"60",0.61779445866957
"61",0.788648173953596
"62",0.936098039287903
"63",0.7043440945725
"64",0.443378010210203
"65",0.396812942569235
"66",0.488504368745333
"67",0.263226905998645
"68",0.076733789563053
"69",0.0322102870593843
"70",0.0149647345289463
"71",0.0071427327634038
"72",0.00316174305326114
"73",0.0012996612308613
"74",0.000502827389811336
"75",0.000850832723106204
"76",0.00310856842145577
"77",0.0171662419712758
"78",0.0640153892734742
"79",0.123070440986667
"80",0.301831169523892
"81",0.711716241299495
"82",0.861406870768241
"83",0.928197982564474
"84",0.86845708698046
"85",0.991819408328857
"86",1.15744344992748
"87",1.21789027077811
"88",1.42352648459493
"89",1.14131579320012
"90",0.875180463475638
"91",0.787527943606674
"92",0.590115176681101
"93",0.232154154606473
"94",0.0886752043921491
"95",0.0394925762565685
"96",0.0195528051463269
"97",0.0103211808796739
"98",0.00553709716739831
"99",0.00273449117611578
"100",0.00127220399359834
"101",0.000581641533760006
"102",0.00057016275494403
"103",0.00629466890060319
"104",0.0226806922033743
"105",0.0492903908851266
