"","V1"
"1",0.00905031578504371
"2",0.015741363015645
"3",0.018371242218476
"4",0.01337117359718
"5",0.00908386631830674
"6",0.0154642574487231
"7",0.0448220440927872
"8",0.0452051795974044
"9",0.0335942925061979
"10",0.0223069733142043
"11",0.0138311397405203
"12",0.030341982045595
"13",0.097619503593259
"14",0.139116042388007
"15",0.157221672031212
"16",0.137783437688979
"17",0.0863428179181418
"18",0.0430471739654832
"19",0.0217305678232289
"20",0.0112899957470674
"21",0.0239105939463278
"22",0.134421416047014
"23",0.296686928889963
"24",0.400601082020285
"25",0.447013921277249
"26",0.532037137866236
"27",0.620090110915963
"28",0.319251018357458
"29",0.15072858446118
"30",0.0721893778120387
"31",0.0332409610848968
"32",0.0150472448429011
"33",0.0363952143311114
"34",0.0675039625097419
"35",0.100255877722028
"36",0.201722341721398
"37",0.432634234571221
"38",0.81725569714761
"39",1.18921640147916
"40",1.12575356934776
"41",0.970051578002946
"42",0.877092574268577
"43",0.955111766896526
"44",0.869586195492153
"45",0.406359970294298
"46",0.239185190151065
"47",0.14045530478314
"48",0.0750975867936495
"49",0.0370636271299428
"50",0.0171172394054787
"51",0.0333684200948342
"52",0.0961019759334318
"53",0.163677521011277
"54",0.305093105358561
"55",0.615537289985912
"56",0.838820195281972
"57",1.2445489281761
"58",1.75724479793268
"59",2.01113457390341
"60",2.06501834756869
"61",2.04326285011477
"62",2.0088425574386
"63",1.85976910685995
"64",1.56204903023216
"65",1.35920854009835
"66",1.33767104517298
"67",0.973347175651378
"68",0.504453557684454
"69",0.313791074131365
"70",0.200698871159104
"71",0.127077745827821
"72",0.073624595934206
"73",0.0390900305276337
"74",0.019343775393768
"75",0.0464495698350546
"76",0.106425477528463
"77",0.370685259435174
"78",0.86753669944331
"79",1.2120320457564
"80",1.74910154986725
"81",2.35369593306453
"82",2.48251545365482
"83",2.4727976772921
"84",2.36465333463127
"85",2.20320396433817
"86",2.11365698150551
"87",2.08629953713929
"88",2.03267944449771
"89",2.10235824592947
"90",1.9585038180181
"91",1.74718959403258
"92",1.47365940349847
"93",0.953851529603687
"94",0.580908368778642
"95",0.374573866813357
"96",0.250527667735343
"97",0.168926090706688
"98",0.111752386142599
"99",0.0672698965712513
"100",0.03821628155149
"101",0.0210257949023701
"102",0.0372144147261689
"103",0.188331645347881
"104",0.402771711727816
"105",0.624598981346231
"106",1.31329622085498
"107",2.17711901615875
"108",2.61350428297628
"109",2.72591389374322
"110",2.67131333228886
"111",2.46140943798156
"112",2.2778807627206
"113",2.14194124301247
"114",1.94929182996488
"115",1.85646486464552
"116",1.87719018587454
"117",1.91090010906266
"118",2.17777763838559
"119",2.16919749111772
"120",1.91081038633124
"121",1.47944768308806
"122",1.0030949807318
"123",0.658095385992995
"124",0.437200222119709
"125",0.295305071543755
"126",0.204567416967944
"127",0.142426141137344
"128",0.0986130689568331
"129",0.0645325071146365
"130",0.0377954268507071
"131",0.0206263262620134
"132",0.0478587211365026
"133",0.172753367853886
"134",0.607708041168303
"135",1.46875428164111
"136",2.00831689361746
"137",2.29464631000739
"138",2.56422714447658
"139",2.78151390905616
"140",2.81654143585897
"141",2.72758040917048
"142",2.55099750321618
"143",2.16401533549618
"144",2.01021709075574
"145",1.87500485672578
"146",1.70299597327446
"147",1.6086144290251
"148",1.66236920282182
"149",1.92704572329939
"150",2.32450328874211
"151",2.30192095163021
"152",1.97948531458829
"153",1.52279030578102
"154",1.05577721720706
"155",0.727133281413171
"156",0.498016258552771
"157",0.34064826627112
"158",0.237806435093938
"159",0.16918793386908
"160",0.121596275211722
"161",0.0861399942612809
"162",0.057061769711327
"163",0.0330503957862298
"164",0.0189578622876004
"165",0.160296534010929
"166",0.0419758204112026
"167",0.213288122531317
"168",1.12439724911477
"169",2.24436119956395
"170",2.87920076820314
"171",3.07547307382084
"172",2.9418644883969
"173",2.9353344985552
"174",2.73974719376877
"175",2.62084338361307
"176",2.52970068383688
"177",2.17046833401478
"178",1.81962739352876
"179",1.6530309788861
"180",1.5573405449705
"181",1.48205248202984
"182",1.39263248107803
"183",1.62957793583025
"184",2.18147459133208
"185",2.49328715421584
"186",2.41315066490841
"187",2.062364685356
"188",1.60027204189196
"189",1.15743798008401
"190",0.822108498065194
"191",0.578032987992453
"192",0.396665391344214
"193",0.276084965804337
"194",0.197632266921804
"195",0.144805290445237
"196",0.106119881118518
"197",0.0752784675938046
"198",0.0483635847732006
"199",0.0276335823614269
"200",0.0981092751856853
"201",0.683113020968197
"202",0.594961606662425
"203",0.164647149796023
"204",0.088189879502594
"205",0.0418036811338952
"206",0.0345702834382892
"207",0.101853259740417
"208",0.435177187538393
"209",1.38085294048767
"210",2.61462396719921
"211",3.10588823935227
"212",3.0267055301209
"213",2.9210453894677
"214",2.60889751055984
"215",2.4747889820525
"216",2.30548288327918
"217",2.01209013729256
"218",1.81996464134463
"219",1.6052363395246
"220",1.38528234844555
"221",1.32208346870537
"222",1.31332423868314
"223",1.27427076185248
"224",1.75200265310111
"225",2.41649014065928
"226",2.63545025648835
"227",2.52839856138604
"228",2.17516423478901
"229",1.73775953492317
"230",1.31184493362256
"231",0.962677915513397
"232",0.690082820862372
"233",0.478864706170581
"234",0.330992668832824
"235",0.234261273898987
"236",0.171273386952741
"237",0.127277495649241
"238",0.0926438203116453
"239",0.0632773843587316
"240",0.0379836054618856
"241",0.0212218722983924
"242",0.0193071909992215
"243",0.0334579747763736
"244",0.0658172257885217
"245",0.0913945728689173
"246",0.106252751253903
"247",0.0915578015736337
"248",0.0909525547440623
"249",0.0529317726694942
"250",0.0326402800653013
"251",0.057452055182884
"252",0.410201203318995
"253",1.37425515751895
"254",1.96071634886473
"255",1.48426362996876
"256",0.526968390320135
"257",0.473424964766024
"258",0.573507523522039
"259",1.21435660878991
"260",2.04340167495204
"261",2.6425452181386
"262",3.01610607864187
"263",2.86268760128623
"264",2.64242031299736
"265",2.28543120485918
"266",2.06290289262654
"267",1.85818668123009
"268",1.64728881950662
"269",1.55280936389682
"270",1.39960614968308
"271",1.27161838653717
"272",1.2140595620693
"273",1.19243682456637
"274",1.24918534202558
"275",1.93458794112115
"276",2.55391216331092
"277",2.76214643158866
"278",2.65744495613256
"279",2.34903746662686
"280",1.93610203235402
"281",1.53921345505045
"282",1.16225073001186
"283",0.844363843519952
"284",0.585013364733885
"285",0.4057082802109
"286",0.287520406646256
"287",0.205517263296728
"288",0.153144134761256
"289",0.112638967611275
"290",0.0785315489036597
"291",0.0491266483165673
"292",0.0276686155559983
"293",0.0306554894397392
"294",0.116897548680972
"295",0.301145779851922
"296",0.350793699700089
"297",0.492627230424933
"298",0.549268770028174
"299",0.773823088677653
"300",0.836144798698844
"301",0.695755489352874
"302",0.446852054003674
"303",0.31736225735641
"304",0.248451032305167
"305",0.283246271781595
"306",0.215652704245713
"307",0.113446350845473
"308",0.0719381209232162
"309",0.0489718058166698
"310",0.199281700115685
"311",1.2500412492556
"312",2.3732746221142
"313",2.36477985436314
"314",1.83807639193192
"315",1.56276101385543
"316",1.46226178918153
"317",1.91675006007196
"318",2.69464026068836
"319",2.94206107468033
"320",2.92157172143331
"321",2.74478558714798
"322",2.53486440058625
"323",2.24673462176251
"324",1.96168189390937
"325",1.76054971402919
"326",1.59500079040495
"327",1.46088922125649
"328",1.3410697785075
"329",1.24338825412106
"330",1.20274129353575
"331",1.17956078368752
"332",1.21462849325206
"333",1.8655525622474
"334",2.61099336211368
"335",2.86312519315838
"336",2.82860638562119
"337",2.56046350176835
"338",2.18437903135823
"339",1.79636979767131
"340",1.42756155249119
"341",1.08600205546273
"342",0.783884474096308
"343",0.541812566644761
"344",0.377879412033633
"345",0.267612413275778
"346",0.19150744117173
"347",0.139637052385647
"348",0.099002863639445
"349",0.0649215411903125
"350",0.0383358040712832
"351",0.0230021189937784
"352",0.0188726600701669
"353",0.0651310083844766
"354",0.18522491545966
"355",0.598440647872465
"356",0.864531837978505
"357",0.793424288426446
"358",0.935561799478864
"359",1.26453891773538
"360",1.43265285968923
"361",1.40709972231878
"362",1.25433070607927
"363",1.10738542614542
"364",0.897681244903738
"365",0.562794851891879
"366",0.455994941793823
"367",0.355681799910591
"368",0.249277375537215
"369",0.313136645972324
"370",0.29534735964685
"371",0.169394893149176
"372",0.15824885531598
"373",0.0738106263947036
"374",0.0222341597114623
"375",0.0278041263382617
"376",0.0795258718475755
"377",0.401750411798496
"378",1.74758888105188
"379",2.65509161631538
"380",2.81706963546914
"381",2.64753302611309
"382",2.27640389993107
"383",2.22293999677195
"384",2.55761462453315
"385",2.85462779677983
"386",2.85370080469156
"387",2.69037955764117
"388",2.5415637484892
"389",2.436263614014
"390",2.23037469037732
"391",1.98253126164341
"392",1.74721285560398
"393",1.59548315600706
"394",1.46923800199585
"395",1.33010108388317
"396",1.24852739264541
"397",1.20812509488647
"398",1.16378170387489
"399",1.14193685209921
"400",1.46616162675885
"401",2.44336405658225
"402",2.90879731030894
"403",2.97969485302738
"404",2.79448710813458
"405",2.46855675646945
"406",2.12102088210238
"407",1.79053220965732
"408",1.42644290225613
"409",1.07480449673899
"410",0.7713233364079
"411",0.539699051907301
"412",0.374233364543727
"413",0.260537527265384
"414",0.180356480843206
"415",0.127320170053664
"416",0.0862616144617453
"417",0.0535989700481206
"418",0.031541471584822
"419",0.025890995260633
"420",0.0880864398951275
"421",0.228986361994002
"422",0.555428247696927
"423",0.875094763963028
"424",1.25632790617732
"425",1.31232748912736
"426",1.48043126648763
"427",1.61261585656957
"428",1.67526729920227
"429",1.64466663966084
"430",1.51583418075718
"431",1.49383725235399
"432",1.45249014138087
"433",1.3676277317695
"434",1.28280549505973
"435",1.31540061911313
"436",1.04022453075416
"437",0.74859612292513
"438",0.643516426591745
"439",1.09384246428918
"440",0.653364499241915
"441",0.539200152952569
"442",0.159352648696609
"443",0.0814121956650489
"444",0.0465126864406923
"445",0.0382855970847031
"446",0.0204535552248896
"447",0.0215603587281043
"448",0.0204293286431565
"449",0.0307211603407346
"450",0.161974426612148
"451",0.103831894673066
"452",0.0793298294595874
"453",0.0435813813271773
"454",0.0285289894543613
"455",0.0338348961812616
"456",0.0672411223462077
"457",0.143141523083774
"458",0.362512803120603
"459",0.6976864370261
"460",1.71977515384412
"461",2.65112112801441
"462",2.85232305522251
"463",2.84312146981126
"464",2.63868553474506
"465",2.6288021645494
"466",2.82121889197721
"467",2.81698203057124
"468",2.70905040641771
"469",2.47541922814152
"470",2.31872599777256
"471",2.3036246360313
"472",2.17208852333062
"473",1.97066637559748
"474",1.75461302513312
"475",1.54882120456665
"476",1.47553510253853
"477",1.36769472153353
"478",1.27841638542475
"479",1.23137328904342
"480",1.17525284683997
"481",1.13881276402697
"482",1.16416313926408
"483",1.76088738051581
"484",2.792760607672
"485",3.07071450579929
"486",3.02305653734721
"487",2.79276476197207
"488",2.52993232496093
"489",2.22332981931818
"490",1.87638757930853
"491",1.49405831371143
"492",1.15114644452705
"493",0.833516370595071
"494",0.584328845780552
"495",0.391346674658851
"496",0.261561756660418
"497",0.176339196747458
"498",0.120187708502702
"499",0.0777166423525766
"500",0.044837647184459
"501",0.0276828791481498
"502",0.0314522576254001
"503",0.110664999766906
"504",0.232230568880236
"505",0.437964909172805
"506",0.904405407004217
"507",1.10862922899678
"508",1.45181376771557
"509",1.55238098152071
"510",1.60356204098504
"511",1.66129206121205
"512",1.70586276469667
"513",1.71962716808821
"514",1.72799908160571
"515",1.6776603040101
"516",1.64920562100105
"517",1.69024072619157
"518",1.70885412251832
"519",1.62221595664274
"520",1.6400471408796
"521",1.5869217062069
"522",1.33719167498568
"523",1.52843157997292
"524",1.37299336056669
"525",1.17709357696428
"526",0.742861905089213
"527",0.675316143614119
"528",0.289416007383254
"529",0.0733001343373137
"530",0.0382355285758337
"531",0.0393851773924222
"532",0.0421759252376753
"533",0.0216169603105513
"534",0.0241440489619053
"535",0.0928576646490975
"536",0.194989597773024
"537",0.612458029250544
"538",0.563916001881205
"539",0.386336772475343
"540",0.351878166739176
"541",0.180534312108339
"542",0.240536037379484
"543",0.158040759877044
"544",0.0789371003246549
"545",0.0450354043830064
"546",0.0246540712425814
"547",0.0434184650689538
"548",0.115147343692728
"549",0.0626057374235232
"550",0.0403841677340671
"551",0.0965698364947684
"552",0.0478610467019249
"553",0.0352801645883981
"554",0.0413598971963568
"555",0.0730003190613107
"556",0.14308566552523
"557",0.0684078567430003
"558",0.0709686805520113
"559",0.136569273881966
"560",0.239258978628892
"561",0.314030115673236
"562",0.366627705755336
"563",0.449145070307077
"564",0.599035545554764
"565",1.18978400813598
"566",1.62341323081004
"567",1.77792353028865
"568",2.40053670168225
"569",2.80591695025931
"570",2.82164094100391
"571",2.77251775152276
"572",2.73292387162486
"573",2.78340443944632
"574",2.6967988751125
"575",2.57602078710986
"576",2.26495905895364
"577",2.12910525856503
"578",2.10787324841296
"579",1.99633397088237
"580",1.79773398225386
"581",1.66486197169129
"582",1.52556120391497
"583",1.4324088087193
"584",1.35849753416969
"585",1.30512150203734
"586",1.25396234279982
"587",1.22837780965053
"588",1.18967984785721
"589",1.14343664611456
"590",1.20293446936173
"591",1.97964904154544
"592",2.78027293635081
"593",3.1514171698661
"594",3.18855317693367
